Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
RELIANCE,EQ,10-Feb-21,1956.15,1953.75,1984.75,1927.3,1980.35,1974.3,1955.63,9799560,19164292386,288994,3630351,37.05
RELIANCE,EQ,11-Feb-21,1974.3,1980,2064.2,1972.25,2061.8,2055.7,2028.11,19631870,39815594030,546129,5981796,30.47
RELIANCE,EQ,12-Feb-21,2055.7,2055.5,2078,2015.4,2040,2041.6,2049.91,14074374,28851163932,369938,2446469,17.38
RELIANCE,EQ,15-Feb-21,2041.6,2048.05,2061.3,2025,2034,2032.6,2043.13,7287590,14889502308,222500,1339156,18.38
RELIANCE,EQ,16-Feb-21,2032.6,2039.75,2079.4,2035,2058.5,2059.5,2061.23,9886093,20377537337,274329,2429172,24.57
RELIANCE,EQ,17-Feb-21,2059.5,2060,2095.95,2050.6,2079.2,2083.25,2076.99,10957388,22758423346,257784,2784713,25.41
RELIANCE,EQ,18-Feb-21,2083.25,2085,2108.4,2059.1,2063.5,2067.7,2085.18,8605531,17944045241,228157,2460456,28.59
RELIANCE,EQ,19-Feb-21,2067.7,2057,2104.95,2053.3,2080,2080.3,2088.14,10800704,22553356631,279181,3029362,28.05
RELIANCE,EQ,22-Feb-21,2080.3,2080,2089.9,1994.95,1999.1,2008.1,2036.88,10985697,22376599862,309112,4112030,37.43
RELIANCE,EQ,23-Feb-21,2008.1,2048,2052.9,2013.6,2026.15,2023.45,2034.5,11834752,24077795769,275466,4422097,37.37
RELIANCE,EQ,24-Feb-21,2023.45,2030,2065.25,2026.15,2060.55,2061,2048.89,4987735,10219330133,135224,1950596,39.11
RELIANCE,EQ,25-Feb-21,2061,2076,2152,2073,2147,2144.35,2120.59,16085897,34111575088,452535,5714928,35.53
RELIANCE,EQ,26-Feb-21,2144.35,2117,2133.9,2070.7,2079.5,2085.8,2096.69,17297575,36267601929,489066,7330239,42.38
RELIANCE,EQ,1-Mar-21,2085.8,2110.2,2112,2062.5,2103,2101.7,2092.87,8159670,17077101153,266082,2970300,36.4
RELIANCE,EQ,2-Mar-21,2101.7,2122,2130,2089.1,2108,2106,2107.78,7915073,16683250359,244565,2910860,36.78
RELIANCE,EQ,3-Mar-21,2106,2121.05,2219.9,2107.2,2207.1,2202.1,2161.54,14733134,31846213370,326092,6380700,43.31
RELIANCE,EQ,4-Mar-21,2202.1,2180,2189.95,2157.7,2174,2175.85,2175.57,9892597,21522070321,259806,3808559,38.5
RELIANCE,EQ,5-Mar-21,2175.85,2156,2211.95,2153.05,2174.55,2178.7,2184.35,11773630,25717685129,312784,3896896,33.1
RELIANCE,EQ,8-Mar-21,2178.7,2168.5,2231.9,2168,2193,2191.1,2205.66,9002404,19856244553,300037,2389286,26.54
RELIANCE,EQ,9-Mar-21,2191.1,2200,2213.8,2146.6,2190.55,2191.05,2181.47,6993792,15256736216,227932,2047400,29.27
RELIANCE,EQ,10-Mar-21,2191.05,2207,2215.1,2170.25,2179.4,2181.95,2187.67,5316182,11630074902,163700,1461484,27.49
RELIANCE,EQ,12-Mar-21,2181.95,2195,2206.4,2123.9,2136.9,2137.6,2160.6,7783173,16816345899,244889,2820317,36.24
RELIANCE,EQ,15-Mar-21,2137.6,2140.05,2148.9,2080.5,2105,2108.9,2103.37,7706302,16209190176,268696,3083696,40.02
RELIANCE,EQ,16-Mar-21,2108.9,2114,2126,2095.5,2100.75,2100.6,2107.19,6402757,13491841405,235823,2426737,37.9
RELIANCE,EQ,17-Mar-21,2100.6,2098.05,2103,2035.1,2054.5,2055.35,2065.89,8865521,18315233171,241456,4179353,47.14
RELIANCE,EQ,18-Mar-21,2055.35,2072.9,2084.8,2001,2010,2009.1,2038.79,9528809,19427231150,295771,4198315,44.06
RELIANCE,EQ,19-Mar-21,2009.1,1991,2095.85,1982.8,2078.1,2082,2047.5,19284892,39485840254,431829,9334589,48.4
RELIANCE,EQ,22-Mar-21,2082,2071,2074,2033.2,2061,2062.4,2050.93,8571196,17578960666,234534,2866751,33.45
RELIANCE,EQ,23-Mar-21,2062.4,2061.95,2109.7,2056,2079.9,2087.5,2086.63,8039865,16776188635,220527,2152080,26.77
RELIANCE,EQ,24-Mar-21,2087.5,2079.75,2079.75,2040.4,2048.55,2047.3,2055.87,7763726,15961211346,222445,2970460,38.26
RELIANCE,EQ,25-Mar-21,2047.3,2054,2054,1985,1993.95,1991.45,2011.25,10153757,20421743790,292881,4074888,40.13
RELIANCE,EQ,26-Mar-21,1991.45,2012,2013.7,1973.7,1994,1994.65,1995.09,9313160,18580559231,296946,3226521,34.64
RELIANCE,EQ,30-Mar-21,1994.65,2008,2048.9,1991.55,2031.9,2029.3,2026.44,9433850,19117149422,230499,3802211,40.3
RELIANCE,EQ,31-Mar-21,2029.3,2018,2049.9,1999,2005.65,2003.1,2017.21,7499740,15128527745,193340,2904680,38.73
RELIANCE,EQ,1-Apr-21,2003.1,2018,2030,2003.15,2020,2021.85,2017.89,5410307,10917411939,140946,1895300,35.03
RELIANCE,EQ,5-Apr-21,2021.85,2024.95,2025,1962.1,1992,1992.6,1986.24,6864856,13635237476,246459,2208186,32.17
RELIANCE,EQ,6-Apr-21,1992.6,2004,2004.95,1969,1986.2,1984.3,1984.99,6465241,12833469592,209903,2136383,33.04
RELIANCE,EQ,7-Apr-21,1984.3,2000,2046.9,1993.3,2001.55,2002.85,2019.21,11198918,22613014349,286779,4098798,36.6
RELIANCE,EQ,8-Apr-21,2002.85,2011,2022,1993,2006.4,2005.35,2006.16,7092878,14229431685,191800,2633682,37.13
RELIANCE,EQ,9-Apr-21,2005.35,1998.45,2006.35,1980,1983.45,1982.05,1989.08,6478482,12886234947,234390,2807275,43.33
RELIANCE,EQ,12-Apr-21,1982.05,1959,1961.4,1900.25,1915.65,1911.15,1922.99,9646031,18549212835,330605,4432542,45.95
RELIANCE,EQ,13-Apr-21,1911.15,1924,1940.6,1917.85,1932.3,1931.8,1931.39,8958261,17301890369,206237,4960483,55.37
RELIANCE,EQ,15-Apr-21,1931.8,1926.3,1961,1913,1943,1944.3,1933.33,9102492,17598148870,189159,4483830,49.26
RELIANCE,EQ,16-Apr-21,1944.3,1936.6,1949.9,1926.45,1929,1932.1,1935.23,7225679,13983364355,206958,3583568,49.59
RELIANCE,EQ,19-Apr-21,1932.1,1904,1916.4,1890,1903.05,1901.7,1902.57,8527967,16225059562,271570,3886582,45.57
RELIANCE,EQ,20-Apr-21,1901.7,1910.5,1919,1890.45,1905,1901.15,1906.74,7939490,15138541715,202431,4616077,58.14
RELIANCE,EQ,22-Apr-21,1901.15,1892.25,1914.45,1876.7,1905.1,1906.4,1898.59,6687573,12696948265,209895,3155063,47.18
RELIANCE,EQ,23-Apr-21,1906.4,1906,1918.9,1895.35,1903.35,1904.35,1907.47,5459016,10412893970,171621,2589266,47.43
RELIANCE,EQ,26-Apr-21,1904.35,1920,1962,1911.5,1938,1937.85,1941.32,9620785,18676994629,259137,4276703,44.45
RELIANCE,EQ,27-Apr-21,1937.85,1940,1997.2,1938.25,1990,1988.65,1978.64,9226547,18256021294,291197,3772144,40.88
RELIANCE,EQ,28-Apr-21,1988.65,1997.85,2008,1980.15,1993.15,1997.3,1997.6,7902002,15785076088,247331,3921560,49.63
RELIANCE,EQ,29-Apr-21,1997.3,2022.9,2044.5,2007.3,2020,2024.05,2024.21,8035915,16266339428,213153,2834103,35.27
RELIANCE,EQ,30-Apr-21,2024.05,2008.5,2036,1987.55,1995.9,1994.5,2010.2,9150974,18395321175,288687,3902504,42.65
